time,price
22-12-2020,48.79
22-12-2020,48.77
22-12-2020,48.76
22-12-2020,48.75
22-12-2020,48.76
22-12-2020,48.77
22-12-2020,48.78
22-12-2020,48.79
22-12-2020,48.78
22-12-2020,48.79
22-12-2020,48.78
22-12-2020,48.79
22-12-2020,48.78
22-12-2020,48.8
22-12-2020,48.84
22-12-2020,48.79
22-12-2020,48.78
22-12-2020,48.77
22-12-2020,48.78
22-12-2020,48.77
22-12-2020,48.78
22-12-2020,48.77
22-12-2020,48.78
22-12-2020,48.79
22-12-2020,48.78
22-12-2020,48.79
22-12-2020,48.8
22-12-2020,48.79
22-12-2020,48.78
